model,valid_time,height_agl_m,mean_turbulence,p90_turbulence,high_risk_fraction,mean_uncertainty
model_d,2025-07-31 02:30:00,1350.0,0.5306424498558044,0.6176488995552063,0.0237543045892192,0.31497079133987427
model_d,2025-07-31 02:30:00,1400.0,0.5267650485038757,0.6145420670509338,0.021153981305783963,0.31623905897140503
model_d,2025-07-31 02:30:00,1450.0,0.5224918127059937,0.6120877265930176,0.019397006114273665,0.31813961267471313
model_d,2025-07-31 02:30:00,1500.0,0.5153121948242188,0.6042364239692688,0.011736594279288776,0.3169665038585663
model_d,2025-07-31 02:30:00,1550.0,0.5130371451377869,0.603164553642273,0.012298826340572071,0.3172549605369568
model_d,2025-07-31 02:30:00,1600.0,0.5071530938148499,0.593827486038208,0.007590132827324478,0.31668534874916077
model_d,2025-07-31 02:30:00,1650.0,0.5026329159736633,0.5900368094444275,0.007449574812003655,0.3170866370201111
model_d,2025-07-31 02:30:00,1700.0,0.49726662039756775,0.5882540941238403,0.007379295804343242,0.31942445039749146
model_d,2025-07-31 02:30:00,1750.0,0.4926716089248657,0.5859619379043579,0.00801180687328695,0.3187011480331421
model_d,2025-07-31 02:30:00,1800.0,0.49212491512298584,0.5862281322479248,0.00801180687328695,0.3191036880016327
model_d,2025-07-31 02:30:00,1850.0,0.4909419119358063,0.5867363810539246,0.008363201911589008,0.3191904127597809
model_d,2025-07-31 02:30:00,1900.0,0.48641788959503174,0.5802294015884399,0.006325110689437065,0.3185482621192932
model_d,2025-07-31 02:30:00,1950.0,0.4847864508628845,0.5806446075439453,0.0078009698503057135,0.3198457360267639
model_d,2025-07-31 02:30:00,2000.0,0.48283085227012634,0.5825628042221069,0.010120177103099304,0.32131683826446533
model_d,2025-07-31 03:00:00,0.0,0.48018863797187805,0.677671492099762,0.13528708974629278,0.27246567606925964
model_d,2025-07-31 03:00:00,50.0,0.5046660304069519,0.6581864953041077,0.12256658935975824,0.29334819316864014
model_d,2025-07-31 03:00:00,100.0,0.5308212041854858,0.6566677689552307,0.14168247944339027,0.2879699766635895
model_d,2025-07-31 03:00:00,150.0,0.5317413806915283,0.6553314328193665,0.12305854241338113,0.27675849199295044
model_d,2025-07-31 03:00:00,200.0,0.5461462140083313,0.6702916026115417,0.18392016304729777,0.2818530201911926
model_d,2025-07-31 03:00:00,250.0,0.5529212355613708,0.6689582467079163,0.18497434816220396,0.2852851450443268
model_d,2025-07-31 03:00:00,300.0,0.5574453473091125,0.662266731262207,0.1484292641787898,0.28926777839660645
model_d,2025-07-31 03:00:00,350.0,0.5532832145690918,0.6546745896339417,0.11778761683885024,0.29071834683418274
model_d,2025-07-31 03:00:00,400.0,0.5456587672233582,0.6474501490592957,0.08981657179000632,0.29271990060806274
model_d,2025-07-31 03:00:00,450.0,0.5453183650970459,0.648512601852417,0.09445498629559351,0.2936278283596039
model_d,2025-07-31 03:00:00,500.0,0.549764096736908,0.6502267122268677,0.10056925996204934,0.2952579855918884
model_d,2025-07-31 03:00:00,550.0,0.5429089069366455,0.6448500156402588,0.0789936046103029,0.29720744490623474
model_d,2025-07-31 03:00:00,600.0,0.5406729578971863,0.641990065574646,0.0695059385761473,0.2963520288467407
model_d,2025-07-31 03:00:00,650.0,0.5480350852012634,0.6403326392173767,0.061494131702860354,0.3003655672073364
model_d,2025-07-31 03:00:00,700.0,0.5480918288230896,0.6382341980934143,0.05467706795980041,0.3018641173839569
model_d,2025-07-31 03:00:00,750.0,0.5492641925811768,0.6384269595146179,0.0528498137606297,0.3015230894088745
model_d,2025-07-31 03:00:00,800.0,0.5474580526351929,0.6319912075996399,0.03781010612130157,0.3039238452911377
model_d,2025-07-31 03:00:00,850.0,0.5461289882659912,0.6258438229560852,0.02986857825567503,0.30676040053367615
model_d,2025-07-31 03:00:00,900.0,0.54402756690979,0.6267368793487549,0.032820296577412325,0.30653834342956543
model_d,2025-07-31 03:00:00,950.0,0.5438082814216614,0.6272669434547424,0.03717759505235786,0.30688798427581787
