地区,月份,实际事件数,协调预测事件数,误差_实际减预测
南美,2016-12-01,11,14.666666666666666,-3.666666666666666
东亚,2012-01-01,0,0.3333333333333333,-0.3333333333333333
东亚,2012-02-01,1,0.3333333333333333,0.6666666666666667
东亚,2012-03-01,0,0.3333333333333333,-0.3333333333333333
东亚,2012-04-01,0,0.3333333333333333,-0.3333333333333333
东亚,2012-05-01,1,0.3333333333333333,0.6666666666666667
东亚,2012-06-01,1,0.3333333333333333,0.6666666666666667
东亚,2012-07-01,0,0.3333333333333333,-0.3333333333333333
东亚,2012-08-01,0,0.3333333333333333,-0.3333333333333333
东亚,2012-09-01,0,0.3333333333333333,-0.3333333333333333
东亚,2012-10-01,1,0.3333333333333333,0.6666666666666667
东亚,2012-11-01,0,0.3333333333333333,-0.3333333333333333
东亚,2012-12-01,0,0.3333333333333333,-0.3333333333333333
东亚,2013-01-01,0,0.3333333333333333,-0.3333333333333333
东亚,2013-02-01,0,0.3333333333333333,-0.3333333333333333
东亚,2013-03-01,1,0.3333333333333333,0.6666666666666667
东亚,2013-04-01,2,0.3333333333333333,1.6666666666666667
东亚,2013-05-01,0,0.3333333333333333,-0.3333333333333333
东亚,2013-06-01,7,0.3333333333333333,6.666666666666667
东亚,2013-07-01,0,0.3333333333333333,-0.3333333333333333
东亚,2013-08-01,0,0.3333333333333333,-0.3333333333333333
东亚,2013-09-01,0,0.3333333333333333,-0.3333333333333333
东亚,2013-10-01,1,0.3333333333333333,0.6666666666666667
东亚,2013-11-01,3,0.3333333333333333,2.6666666666666665
东亚,2013-12-01,1,0.3333333333333333,0.6666666666666667
东亚,2014-01-01,6,1.25,4.75
东亚,2014-02-01,3,1.25,1.75
东亚,2014-03-01,5,1.25,3.75
东亚,2014-04-01,3,1.25,1.75
东亚,2014-05-01,8,1.25,6.75
东亚,2014-06-01,4,1.25,2.75
东亚,2014-07-01,6,1.25,4.75
东亚,2014-08-01,1,1.25,-0.25
东亚,2014-09-01,4,1.25,2.75
东亚,2014-10-01,1,1.25,-0.25
东亚,2014-11-01,2,1.25,0.75
东亚,2014-12-01,0,1.25,-1.25
东亚,2015-01-01,0,3.5833333333333335,-3.5833333333333335
东亚,2015-02-01,1,3.5833333333333335,-2.5833333333333335
东亚,2015-03-01,6,3.5833333333333335,2.4166666666666665
东亚,2015-04-01,2,3.5833333333333335,-1.5833333333333335
东亚,2015-05-01,3,3.5833333333333335,-0.5833333333333335
东亚,2015-06-01,2,3.583333333333334,-1.583333333333334
东亚,2015-07-01,4,3.5833333333333335,0.4166666666666665
东亚,2015-08-01,6,3.5833333333333335,2.4166666666666665
东亚,2015-09-01,2,3.5833333333333335,-1.5833333333333335
东亚,2015-10-01,0,3.5833333333333335,-3.5833333333333335
东亚,2015-11-01,1,3.5833333333333335,-2.5833333333333335
东亚,2015-12-01,1,3.583333333333333,-2.583333333333333
东亚,2016-01-01,0,2.3333333333333335,-2.3333333333333335
东亚,2016-02-01,1,2.3333333333333335,-1.3333333333333335
东亚,2016-03-01,0,2.3333333333333335,-2.3333333333333335
东亚,2016-04-01,1,2.3333333333333335,-1.3333333333333335
东亚,2016-05-01,0,2.3333333333333335,-2.3333333333333335
东亚,2016-06-01,0,2.3333333333333335,-2.3333333333333335
东亚,2016-07-01,1,2.3333333333333335,-1.3333333333333335
东亚,2016-08-01,0,2.3333333333333335,-2.3333333333333335
东亚,2016-09-01,0,2.3333333333333335,-2.3333333333333335
东亚,2016-10-01,0,2.3333333333333335,-2.3333333333333335
东亚,2016-11-01,3,2.3333333333333335,0.6666666666666665
东亚,2016-12-01,2,2.3333333333333335,-0.3333333333333335
东南亚,2012-01-01,28,22.27461415249422,5.72538584750578
东南亚,2012-02-01,35,26.971229108160905,8.028770891839095
东南亚,2012-03-01,68,34.694439071349585,33.305560928650415
东南亚,2012-04-01,47,33.504827161288155,13.495172838711845
东南亚,2012-05-01,41,35.92891043620689,5.071089563793109
东南亚,2012-06-01,40,43.41792153478491,-3.4179215347849095
东南亚,2012-07-01,52,31.4952702764954,20.5047297235046
东南亚,2012-08-01,78,33.22629413767379,44.77370586232621
东南亚,2012-09-01,34,34.55085017978074,-0.5508501797807384
东南亚,2012-10-01,72,35.50177124837087,36.49822875162913
东南亚,2012-11-01,53,39.260757975835716,13.739242024164284
东南亚,2012-12-01,39,19.478240490887742,19.521759509112258
东南亚,2013-01-01,64,41.07345326022843,22.926546739771567
东南亚,2013-02-01,97,43.22308919669132,53.77691080330868
东南亚,2013-03-01,75,58.58167777655669,16.41832222344331
东南亚,2013-04-01,137,52.3258509138283,84.6741490861717
东南亚,2013-05-01,135,55.889876216639514,79.11012378336048
东南亚,2013-06-01,90,53.6407898452584,36.3592101547416
东南亚,2013-07-01,100,56.0026875145734,43.9973124854266
东南亚,2013-08-01,112,61.53722765909308,50.46277234090692
东南亚,2013-09-01,92,54.31796733902552,37.68203266097448
东南亚,2013-10-01,122,60.04767196457526,61.95232803542474
东南亚,2013-11-01,82,53.610192873339294,28.389807126660706
