地区,模型,月份,实际事件数,预测事件数
中东与北非,季节朴素,2013-10-01,475,201.0
中东与北非,季节朴素,2013-11-01,558,205.0
中东与北非,季节朴素,2013-12-01,612,143.0
中东与北非,季节朴素,2014-01-01,587,208.0
中东与北非,季节朴素,2014-02-01,637,186.0
中东与北非,季节朴素,2014-03-01,730,231.0
中东与北非,季节朴素,2014-04-01,575,252.0
中东与北非,季节朴素,2014-05-01,706,343.0
中东与北非,季节朴素,2014-06-01,548,311.0
中东与北非,季节朴素,2014-07-01,680,522.0
中东与北非,季节朴素,2014-08-01,549,460.0
中东与北非,季节朴素,2014-09-01,491,401.0
中东与北非,季节朴素,2014-10-01,545,475.0
中东与北非,季节朴素,2014-11-01,453,558.0
中东与北非,季节朴素,2014-12-01,438,612.0
中东与北非,季节朴素,2015-01-01,544,587.0
中东与北非,季节朴素,2015-02-01,453,637.0
中东与北非,季节朴素,2015-03-01,468,730.0
中东与北非,季节朴素,2015-04-01,537,575.0
中东与北非,季节朴素,2015-05-01,473,706.0
中东与北非,季节朴素,2015-06-01,499,548.0
中东与北非,季节朴素,2015-07-01,534,680.0
中东与北非,季节朴素,2015-08-01,579,549.0
中东与北非,季节朴素,2015-09-01,446,491.0
中东与北非,季节朴素,2015-10-01,552,545.0
中东与北非,季节朴素,2015-11-01,500,453.0
中东与北非,季节朴素,2015-12-01,451,438.0
中东与北非,季节朴素,2016-01-01,574,544.0
中东与北非,季节朴素,2016-02-01,510,453.0
中东与北非,季节朴素,2016-03-01,481,468.0
中东与北非,季节朴素,2016-04-01,510,537.0
中东与北非,季节朴素,2016-05-01,639,473.0
中东与北非,季节朴素,2016-06-01,528,499.0
中东与北非,季节朴素,2016-07-01,510,534.0
中东与北非,季节朴素,2016-08-01,483,579.0
中东与北非,季节朴素,2016-09-01,518,446.0
中东与北非,季节朴素,2016-10-01,524,552.0
中东与北非,季节朴素,2016-11-01,447,500.0
中东与北非,季节朴素,2016-12-01,391,451.0
中东与北非,近12月均值,2012-01-01,232,138.58333333333334
中东与北非,近12月均值,2012-02-01,164,138.58333333333334
中东与北非,近12月均值,2012-03-01,165,138.58333333333334
中东与北非,近12月均值,2012-04-01,214,138.58333333333334
中东与北非,近12月均值,2012-05-01,194,138.58333333333334
中东与北非,近12月均值,2012-06-01,201,138.58333333333334
中东与北非,近12月均值,2012-07-01,209,138.58333333333334
中东与北非,近12月均值,2012-08-01,253,138.58333333333334
中东与北非,近12月均值,2012-09-01,228,138.58333333333334
中东与北非,近12月均值,2012-10-01,201,138.58333333333334
中东与北非,近12月均值,2012-11-01,205,138.58333333333334
中东与北非,近12月均值,2012-12-01,143,138.58333333333334
中东与北非,近12月均值,2013-01-01,208,200.75
中东与北非,近12月均值,2013-02-01,186,200.75
中东与北非,近12月均值,2013-03-01,231,200.75
